ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,dpnm,ratio_PAY_AMT1_to_BILL_AMT2,ratio_PAY_AMT2_to_BILL_AMT3,ratio_PAY_AMT3_to_BILL_AMT4,ratio_PAY_AMT4_to_BILL_AMT5,ratio_PAY_AMT5_to_BILL_AMT6,ratio_BILL_LIMIT1,ratio_BILL_LIMIT2,ratio_BILL_LIMIT3,ratio_BILL_LIMIT4,ratio_BILL_LIMIT5,ratio_BILL_LIMIT6
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,0.0,100.0,,,,19.564999999999998,15.509999999999998,3.4450000000000003,0.0,0.0,0.0
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,0.0,37.28560775540642,30.56234718826406,28.94356005788712,0.0,2.235,1.4375,2.235,2.726666666666667,2.879166666666667,2.7175000000000002
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,10.821986169530192,11.06276274061509,6.977880120019537,6.689858175006689,6.431281754453663,32.48777777777778,15.585555555555555,15.065555555555555,15.923333333333334,16.608888888888888,17.276666666666667
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,4.1465386768395085,4.0960824491286445,4.238186056367875,3.798473704202493,3.617964598774833,93.97999999999999,96.466,98.58200000000001,56.628,57.918000000000006,59.094
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,35.273368606701936,102.36082042695689,47.75549188156638,47.00720777185835,3.601484501594271,17.233999999999998,11.34,71.67,41.88,38.292,38.262
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,4.380662005642293,3.1506040827662827,3.387645663607301,5.097099750242112,4.994007191370355,128.8,114.138,115.21600000000001,38.788,39.238,40.048
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,13.348769364817011,8.988622650879648,7.002633358702523,4.190243124783904,2.9011866380838245,73.593,82.40459999999999,89.0014,108.5306,96.6006,94.7888
8,100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,100.0,100.0,0.0,,200.0,11.876000000000001,0.38,0.601,0.22100000000000003,0.0,0.567
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,23.616628830874006,0.0,3.5377937924821885,8.479606546256253,26.888948642108097,8.060714285714287,10.068571428571428,8.64857142857143,8.722142857142858,8.423571428571428,2.6564285714285716
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,,,,100.0,8.064979873490511,0.0,0.0,0.0,0.0,65.035,69.56
11,200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,23.561867783794828,0.21680216802168023,1.9896538002387585,16.411378555798688,100.187617260788,5.5365,4.8934999999999995,2.7675,1.2565,0.914,1.8655000000000002
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,100.68297185048453,100.0,100.77492074674181,100.06281688876923,0.0,4.715769230769231,8.334615384615384,3.833076923076923,3.2757692307692308,8.571923076923078,5.256923076923077
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,15.384615384615385,100.0,100.0,100.0,100.0,1.9265079365079363,1.0317460317460316,1.0317460317460316,1.0317460317460316,1.0317460317460316,0.4555555555555556
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,4.749959180038296,0.0,4.492228444790512,8.301740598278773,4.065701740120345,94.00285714285714,96.24142857142857,93.85857142857142,95.40285714285714,51.62428571428571,52.705714285714286
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,4.47360572621533,4.719875395289564,5.025462342535513,5.274725274725275,5.40423692174665,28.3548,26.823999999999998,25.424400000000002,23.8784,22.75,22.2048
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,0.0,5.335040546308152,3.823294289388621,4.063526463716094,4.303068418787859,101.22800000000001,58.346,56.232000000000006,57.542,59.062000000000005,60.422
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,17.76790671848973,0.0,8.1797360671829,0.0,8.636934673366834,76.88000000000001,90.05,87.14,91.69,89.525,95.52000000000001
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,4.201414803517539,5.137083061496021,108.37115049804493,200.0,100.0,79.151875,77.0425,60.8321875,21.898125,1.83,61.12468749999999
